name,slug,label,minElevation,maxElevation,lat,lon,website,countryId,regionId,createdAt,updatedAt,deletedAt
Ski Pista Bigëll – Dardhë,ski-pista-bigell-dardhe,"SH90, Drenovë, Bashkia Korçë, Korçë County, Southern Albania, 7023, Albania",1583,1656,40.518987,20.79903,https://www.facebook.com/SkiPistaBigell/wall,1,1,2025-04-14T19:57:00.640Z,2025-04-14T19:57:00.640Z,
La Rabassa,la-rabassa,"Aparcament gratuït, Carretera Secundaria de la Rabassa, Sant Julia de Loria, AD600, Andorra",,,42.435707,1.519632,http://w9.naturlandia.ad/activities/cross-country-skiing/?lang=en,2,2,2025-04-14T19:57:00.640Z,2025-04-14T19:57:00.640Z,
Grandvalira,grandvalira,"Pla de les Pedres, Encamp, AD200, Andorra",1680,2612,42.54928541,1.669874014,http://www.grandvalira.com/,2,,,,
Ordino-Arcalís,ordino-arcalís,"Carretera General 3, Ordino, AD300, Andorra",1944,2628,42.6283124,1.488935076,https://www.ordinoarcalis.com/,2,,,,
Pal-Arinsal,pal-arinsal,"CG-4, Bordes de Cardameller, La Massana, AD400, Andorra",1246,2522,42.54576086,1.453321371,http://www.vallnord.com/,2,,,,
La Hoya,la-hoya,"Camino a La Hoya, Municipio de Esquel, Departamento Cushamen, Chubut Province, Argentina",1423,2080,-42.808678,-71.259345,http://www.skilahoya.com,3,6,2025-04-14T19:57:00.643Z,2025-04-14T19:57:00.643Z,
Las Leñas,las-lenas,"Las Leñas - Valle Hermoso, Distrito Ciudad de Malargüe, Departamento Malargüe, Mendoza, 5612, Argentina",2223,2780,-35.12917,-70.098928,http://www.laslenas.com,3,7,2025-04-14T19:57:00.641Z,2025-04-14T19:57:00.641Z,
Pircas Parque de Nieve,pircas-parque-de-nieve,"Carretera Libertador General San Martín, Los Penitentes, Distrito Potrerillos, Departamento Luján de Cuyo, Departamento Las Heras, Mendoza, M5553, Argentina",,,-32.860339,-69.786701,https://www.facebook.com/paradorpircas,3,7,2025-04-14T19:57:00.645Z,2025-04-14T19:57:00.645Z,
Real del Pehuenche,real-del-pehuenche,"Ruta Nacional 145, Distrito Río Barrancas, Departamento Malargüe, Mendoza, Argentina",,,-35.965603,-70.38046,https://www.realdelpehuenche.com,3,7,2025-04-14T19:57:00.815Z,2025-04-14T19:57:00.815Z,
Chapelco,chapelco,"Acceso a Las Pendientes Ski Village, Municipio de San Martín de los Andes, Departamento Lácar, Neuquén Province, 8370, Argentina",1262,1966,-40.196615,-71.318411,https://www.chapelco.com,3,8,2025-04-14T19:57:00.641Z,2025-04-14T19:57:00.641Z,
Caviahue,caviahue,"Municipio de Caviahue - Copahue, Departamento Ñorquín, Neuquén Province, 8349, Argentina",,,-37.876479,-71.073303,http://www.caviahue.com,3,8,2025-04-14T19:57:00.642Z,2025-04-14T19:57:00.642Z,
Cerro Bayo,cerro-bayo,"Acceso Cerro Bayo, Cumelén, Villa La Angostura, Municipio de Villa La Angostura, Departamento Los Lagos, Neuquén Province, Q8407ZCA, Argentina",1051,1780,-40.755155,-71.592075,http://www.cerrobayo.com.ar,3,8,2025-04-14T19:57:00.643Z,2025-04-14T19:57:00.643Z,
C4 Parque de Nieve,c4-parque-de-nieve,"Ruta Provincial 19 - Acceso a Chapelco, Municipio de San Martín de los Andes, Departamento Lácar, Neuquén Province, Q8370, Argentina",,,-40.202477,-71.333069,https://c4parquedenieve.com,3,8,2025-04-14T19:57:00.644Z,2025-04-14T19:57:00.644Z,
Arroyo Partido Parque de Nieve,arroyo-partido-parque-de-nieve,"Camino de los Siete Lagos, Cerro Negro, Departamento Lácar, Neuquén Province, Q8370, Argentina",,,-40.241876,-71.371891,http://www.arroyopartido.com.ar,3,8,2025-04-14T19:57:00.644Z,2025-04-14T19:57:00.644Z,
Horses & Huskies,horses-huskies,"Ruta Nacional 242, Pino Hachado, Departamento Picunches, Neuquén Province, Argentina",,,-38.649606,-70.809697,https://horsesandhuskiespatagonia.com,3,8,2025-04-14T19:57:00.645Z,2025-04-14T19:57:00.645Z,
Lago Hermoso Mountain Park,lago-hermoso-mountain-park,"Lago Hermoso, Departamento Lácar, Neuquén Province, Argentina",,,-40.352506,-71.45809,http://www.lagohermososki.com,3,8,2025-04-14T19:57:00.647Z,2025-04-14T19:57:00.647Z,
Cerro Catedral,cerro-catedral,"Sendero Villa Catedral - Refugio Frey, San Carlos de Bariloche, Municipio de San Carlos de Bariloche, Departamento Bariloche, Río Negro Province, 8400, Argentina",1041,2089,-41.170919,-71.444848,http://www.catedralaltapatagonia.com,3,9,2025-04-14T19:57:00.642Z,2025-04-14T19:57:00.642Z,
Piedras Blancas,piedras-blancas,"Piedras Blancas, Subida al Cerro Otto, Las Margaritas, San Carlos de Bariloche, Municipio de San Carlos de Bariloche, Departamento Bariloche, Río Negro Province, 8400, Argentina",1187,1314,-41.146644,-71.349669,http://piedrasblancasbariloche.com,3,9,2025-04-14T19:57:00.643Z,2025-04-14T19:57:00.644Z,
Baguales Mountain Reserve,baguales-mountain-reserve,"Departamento Bariloche, Río Negro Province, Argentina",,,-41.506356,-71.316187,http://www.baguales-patagonia.com,3,9,2025-04-14T19:57:00.646Z,2025-04-14T19:57:00.646Z,
Estancia La Esperanza,estancia-la-esperanza,"Ñirihuau Arriba, Municipio de Pilcaniyeu, Departamento Pilcaniyeu, Río Negro Province, Argentina",,,-41.236318,-71.163342,http://www.estancialaesperanza.info,3,9,2025-04-14T19:57:00.646Z,2025-04-14T19:57:00.646Z,
Centro de Esqui Nordico Cerro Otto,centro-de-esqui-nordico-cerro-otto,"Subida al Cerro Otto, Las Margaritas, San Carlos de Bariloche, Municipio de San Carlos de Bariloche, Departamento Bariloche, Río Negro Province, 8400, Argentina",,,-41.145967,-71.36417,http://www.skinordico.com,3,9,2025-04-14T19:57:00.647Z,2025-04-14T19:57:00.647Z,
Calafate Mountain Park,calafate-mountain-park,"Calafate Mountain Park, Ruta Provincial 15, Huiliche, El Calafate, Lago Argentino, Santa Cruz Province, Argentina",,,-50.395127,-72.317756,http://www.miloutdoor.com.ar,3,10,2025-04-14T19:57:00.643Z,2025-04-14T19:57:00.643Z,
Valdelén,valdelen,"Camping Caburé, Ruta Provincial 20, Río Turbio, Güer Aike, Santa Cruz Province, 9407, Argentina",570,712,-51.570282,-72.352749,https://valdelen.com,3,10,2025-04-14T19:57:00.645Z,2025-04-14T19:57:00.645Z,
Cerro Castor,cerro-castor,"Acceso al Complejo Cerro Castor, Departamento Ushuaia, Tierra del Fuego Province, Argentina",195,944,-54.72377,-68.017725,http://www.cerrocastor.com,3,11,2025-04-14T19:57:00.641Z,2025-04-14T19:57:00.641Z,
Cerro Martial,cerro-martial,"Glaciar Martial, Luis Fernando Martial, Luis Martial, Ushuaia, Departamento Ushuaia, Tierra del Fuego Province, 1257, Argentina",335,522,-54.79896,-68.37018,https://www.cerromartial.com.ar,3,11,2025-04-14T19:57:00.642Z,2025-04-14T19:57:00.642Z,
Tierra Mayor,tierra-mayor,"Ruta Nacional 3, Departamento Ushuaia, Tierra del Fuego Province, Argentina",,,-54.71639,-68.08275,http://www.tierramayor.com.ar,3,11,2025-04-14T19:57:00.644Z,2025-04-14T19:57:00.644Z,
Haruwen,haruwen,"Ruta Nacional 3, Departamento Ushuaia, Tierra del Fuego Province, Argentina",,,-54.7335,-67.90201,http://www.haruwen.com.ar,3,11,2025-04-14T19:57:00.646Z,2025-04-14T19:57:00.646Z,
"Ծաղկաձոր լեռնադահուկային առողջարան, Tsaghkadzor Ski resort",tsaghkadzor-ski-resort,"Tandzaghbyur street, Tsakhkadzor, Border Tsakhkadzor, Tsaghkadzor community, Kotayk Province, 2310, Armenia",1981,2803,40.535357,44.696865,https://ropeway.am/online,4,13,2025-04-14T19:57:00.648Z,2025-04-14T19:57:00.648Z,
Corin Forest,corin-forest,"Corin Road, Australian Capital Territory, Australia",,,-35.515736,148.922785,http://www.corin.com.au,5,14,2025-04-14T19:57:00.651Z,2025-04-14T19:57:00.652Z,
Perisher,perisher,"Kosciuszko Road, Perisher Valley, Snowy Monaro Regional Council, New South Wales, 2624, Australia",1604,2034,-36.418561,148.386739,http://www.perisher.com.au,5,15,2025-04-14T19:57:00.649Z,2025-04-14T19:57:00.649Z,
Thredbo Resort,thredbo-resort,"The Cruiser Top Station, Merritts Traverse, Friday Flat Camp, Thredbo, Snowy Monaro Regional Council, New South Wales, 2625, Australia",1366,2038,-36.4811,148.30495,http://www.thredbo.com.au,5,15,2025-04-14T19:57:00.649Z,2025-04-14T19:57:00.649Z,
Selwyn,selwyn,"Selwyn Trailhead, Kings Cross Road, Cabramurra, Snowy Valleys Council, New South Wales, 2629, Australia",1490,1600,-35.90665,148.447744,http://www.selwynsnow.com.au,5,15,2025-04-14T19:57:00.651Z,2025-04-14T19:57:00.651Z,
Charlotte Pass,charlotte-pass,"Mount Stilwell Walking Track, Charlotte Pass, Snowy Monaro Regional Council, New South Wales, 2624, Australia",1752,1931,-36.438028,148.324253,http://www.charlottepass.com.au,5,15,2025-04-14T19:57:00.652Z,2025-04-14T19:57:00.652Z,
Mount Mawson,mount-mawson,"Urquhart Track, Derwent Valley, Tasmania, Australia",1221,1246,-42.681237,146.586456,http://mtmawson.info,5,16,2025-04-14T19:57:00.648Z,2025-04-14T19:57:00.648Z,
Ben Lomond,ben-lomond,"Ben Lomond Road, Northern Midlands, Tasmania, Australia",1467,1564,-41.53425,147.666721,https://tasmania.ski,5,16,2025-04-14T19:57:00.650Z,2025-04-14T19:57:00.650Z,
Lake Mountain,lake-mountain,"Lake Mountain Road, Marysville, Melbourne, Shire of Yarra Ranges, Lake Mountain Alpine Resort, Victoria, 3779, Australia",,,-37.511717,145.874298,http://www.lakemountainresort.com.au,5,17,2025-04-14T19:57:00.648Z,2025-04-14T19:57:00.648Z,
Mount Baw Baw,mount-baw-baw,"Mount Baw Baw Tourist Road, Baw Baw Village, Shire of Baw Baw, Mount Baw Baw Alpine Resort, Victoria, 3833, Australia",1455,1568,-37.836379,146.258942,http://www.mountbawbaw.com.au,5,17,2025-04-14T19:57:00.648Z,2025-04-14T19:57:00.649Z,
Falls Creek,falls-creek,"2, Bogong High Plains Road, Falls Creek, Falls Creek Alpine Resort, Victoria, 3699, Australia",1512,1774,-36.860534,147.280906,http://www.skifalls.com.au,5,17,2025-04-14T19:57:00.649Z,2025-04-14T19:57:00.649Z,
